study,domain,sub_domain,source,table_name,name,label,has_skip_logic,sensitivity,plab_facet,plab_subfacet,alexsa_facet
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__age__slf_001,How old are you? [Cross-listed: mh_p_asr__slf__age_001],yes,not sensitive,demographics,age,_none_
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__child__time_001,Is there another household in which the child spends a significant amount of time?,no,not sensitive,demographics,household structure,_none_
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__country_002,How many years has the child lived in the United States?,yes,not sensitive,identities,country,_none_
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__country__fam_001,"Was anyone in your child's family born outside of the United States? By your child's family, I mean you, your child's other parent, or your child's maternal or paternal grandparents.",no,not sensitive,demographics,relatives,_none_
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__edu__slf_001,What is the highest grade or level of school you have completed or the highest degree you have received?,no,not sensitive,demographics,education attained,_none_
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__country__slf_002,How many years have you lived in the United States?,yes,not sensitive,identities,country,_none_
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__income__hhold_001,"What is your total combined family income for the past 12 months? This should include income (before taxes and deductions) from all sources, wages, rent from properties, social security, disability and/or veteran's benefits, unemployment benefits, workman's compensation, help from relative (include child payments and alimony), and so on.",no,not sensitive,demographics,income,last year stressors
Core,"Friends, Family, & Community",Work & School,Parent,fc_p_sag,fc_p_sag_006a__02___1,"Under which category is your child eligible for their IEP, for primary and secondary designations? [Multi-select]: Specific learning disability (such as dyslexia)",yes,not sensitive,school,not applicable,academic competency
Core,"Friends, Family, & Community",Work & School,Parent,fc_p_sag,fc_p_sag_006a__02___2,"Under which category is your child eligible for their IEP, for primary and secondary designations? [Multi-select]: Other health impairment (including ADHD and other conditions that limit a child's strength, energy, or alertness)",yes,not sensitive,school,not applicable,academic competency
Core,"Friends, Family, & Community",Work & School,Parent,fc_p_sag,fc_p_sag_006a__02___3,"Under which category is your child eligible for their IEP, for primary and secondary designations? [Multi-select]: Autism spectrum disorder",yes,not sensitive,school,not applicable,academic competency
Core,"Friends, Family, & Community",Work & School,Parent,fc_p_sag,fc_p_sag_006a__02___4,"Under which category is your child eligible for their IEP, for primary and secondary designations? [Multi-select]: Emotional disturbance",yes,not sensitive,school,not applicable,academic competency
Core,"Friends, Family, & Community",Work & School,Parent,fc_p_sag,fc_p_sag_006a__02___5,"Under which category is your child eligible for their IEP, for primary and secondary designations? [Multi-select]: Speech or language impairment",yes,not sensitive,school,not applicable,academic competency
Core,"Friends, Family, & Community",Work & School,Parent,fc_p_sag,fc_p_sag_006a__02___6,"Under which category is your child eligible for their IEP, for primary and secondary designations? [Multi-select]: Visual impairment (including partial sight and blindness)",yes,not sensitive,school,not applicable,academic competency
Core,ABCD (General),Demographics,Parent,ab_p_demo,ab_p_demo__ntvlang_004,Does your child attend a dual-language or language immersion program at their school?,yes,not sensitive,school,not applicable,_none_
Core,Mental Health,Psychosocial,Parent,mh_p_kbi,mh_p_kbi_001,Does your child live with you full time?,no,NA,NA,NA,NA
